00	p000	src0	s0	box_e23cd72c530e4999	text_e23cd72c530e4999	text	review:incomplete-coverage	dup=N	OCR=VILLAIN TO KILL	CTX=VILLAIN TO KILL || Jiscord.gg/asuran / asurascans.com || DETE
11	p036	src10	s2	box_dfd838221fba4795	text_dfd838221fba4795	speech_bubble	reject:empty	dup=N	OCR=	CTX=WE'RE JUST... / TAKING A SHORT / BREAK BECAUSE MY / LEGS HURT. || AHA... I JUST / ASKED BECAUSE / IT'S SO CHAOTIC / OUT THERE, || AND I THOUGHT... / YOU WERE BEING CHASED / BY SOMEONE. ||  || AHMI... / LET'S GO. || OON / SPOON / Clanid || ...?
12	p039	src10	s5	box_8dfa6bf826734031	text_8dfa6bf826734031	speech_bubble	reject:no-content	dup=Y	OCR=...?	CTX=AHMI... / LET'S GO. || OON / SPOON / Clanid || ...? || ...? || LEAVING / ALREADY? || LEAVING / ALREADY?
13	p039	src10	s5	box_f0b006f49b7b4e62	text_f0b006f49b7b4e62	free_text	reject:no-content	dup=Y	OCR=...?	CTX= || AHMI... / LET'S GO. || OON / SPOON / Clanid || ...? || ...? || LEAVING / ALREADY? || LEAVING / ALREADY?
14	p039	src10	s5	box_058d64b03f4a4e95	text_058d64b03f4a4e95	text	review:crop-edge-text	dup=N	OCR=OON / SPOON / Clanid	CTX=AND I THOUGHT... / YOU WERE BEING CHASED / BY SOMEONE. ||  || AHMI... / LET'S GO. || OON / SPOON / Clanid || ...? || ...? || LEAVING / ALREADY?
15	p043	src12	s1	box_ca3b8d0c5bf64bf2	text_ca3b8d0c5bf64bf2	speech_bubble	review:incomplete-coverage	dup=N	OCR=IT CAN'T BE!	CTX=SO I'LL BE / UPSET IF WE GO / OUR SEPARATE / WAYS NOW. || SO I'LL BE / UPSET IF WE GO / OUR SEPARATE / WAYS NOW. || OUR SEPARATE / WAYS NOW. || IT CAN'T BE! || HELLO, / LADIES. || HIDE AND / SEEK IS OVER / NOW. || RUN, / AHMI!
16	p043	src12	s1	box_126438f75aa448fa	text_126438f75aa448fa	speech_bubble	review:crop-edge-text	dup=N	OCR=OUR SEPARATE / WAYS NOW.	CTX=I FOLLOWED / YOUR SCENT ALL THE / WAY HERE... || SO I'LL BE / UPSET IF WE GO / OUR SEPARATE / WAYS NOW. || SO I'LL BE / UPSET IF WE GO / OUR SEPARATE / WAYS NOW. || OUR SEPARATE / WAYS NOW. || IT CAN'T BE! || HELLO, / LADIES. || HIDE AND / SEEK IS OVER / NOW.
17	p050	src13	s2	box_398b10b7be5d47e9	text_398b10b7be5d47e9	speech_bubble	reject:no-content	dup=N	OCR=...?!!	CTX=THAT'S / NOT FUN! || ...?!! || AAAH!
18	p051	src13	s3	box_940955579f314c23	text_940955579f314c23	speech_bubble	review:crop-edge-text	dup=N	OCR=AAAH!	CTX=THAT'S / NOT FUN! || ...?!! || AAAH!
19	p072	src19	s4	box_6129bc0d428148ce	text_6129bc0d428148ce	speech_bubble	review:incomplete-coverage	dup=Y	OCR=SHAMELESS...	CTX=SHAMELESS... || SHAMELESS... || SHAMELESS... || SHAMELLSS...
20	p072	src19	s4	box_5f1e597ac47a48ab	text_5f1e597ac47a48ab	free_text	review:crop-edge-text	dup=Y	OCR=SHAMELESS...	CTX=SHAMELESS... || SHAMELESS... || SHAMELESS... || SHAMELLSS... || YOU'RE GOING / TO TAKE IT FROM / ME AGAIN?
21	p073	src19	s5	box_634348baafc74d8a	text_634348baafc74d8a	speech_bubble	review:incomplete-coverage	dup=Y	OCR=SHAMELESS...	CTX=SHAMELESS... || SHAMELESS... || SHAMELESS... || SHAMELLSS... || YOU'RE GOING / TO TAKE IT FROM / ME AGAIN? || I'M SICK / AND TIRED / OF THIS.
22	p073	src19	s5	box_259914a00d14457d	text_259914a00d14457d	speech_bubble	review:crop-edge-text	dup=N	OCR=SHAMELLSS...	CTX=SHAMELESS... || SHAMELESS... || SHAMELESS... || SHAMELLSS... || YOU'RE GOING / TO TAKE IT FROM / ME AGAIN? || I'M SICK / AND TIRED / OF THIS. || 
23	p074	src19	s6	box_ccefe7b579fe4f57	text_ccefe7b579fe4f57	text	reject:empty	dup=N	OCR=	CTX=SHAMELLSS... || YOU'RE GOING / TO TAKE IT FROM / ME AGAIN? || I'M SICK / AND TIRED / OF THIS. || 
24	p076	src20	s1	box_0030479f5bc341c3	text_0030479f5bc341c3	free_text	review:crop-edge-text	dup=N	OCR=STORY_开 / ART / sist·· / elp. / 跳·个	CTX=FORIAM RED / DEATH PEONY. || FORIAM RED / DEATH PEONY. ||  || STORY_开 / ART / sist·· / elp. / 跳·个 || @fupin2021 / @fupin2021 / @eunj.i593 / @silvaus1 / 厚外 / 导异三 || for the fastest releases
25	p076	src20	s1	box_2b942f286ebd41f7	text_2b942f286ebd41f7	text	reject:empty	dup=N	OCR=	CTX=ILL KILL / YOU ALL...AND / BLOOM THE BLOOD / FLOWERS. || FORIAM RED / DEATH PEONY. || FORIAM RED / DEATH PEONY. ||  || STORY_开 / ART / sist·· / elp. / 跳·个 || @fupin2021 / @fupin2021 / @eunj.i593 / @silvaus1 / 厚外 / 导异三 || for the fastest releases
